Epidemiology Wk,Start,End,Dengue,DHF,month_year
1,2012-01-01,2012-01-07,74,0,2012-01-01
2,2012-01-08,2012-01-14,64,2,2012-01-01
3,2012-01-15,2012-01-21,60,1,2012-01-01
4,2012-01-22,2012-01-28,50,2,2012-01-01
5,2012-01-29,2012-02-04,84,1,2012-01-01
6,2012-02-05,2012-02-11,87,0,2012-02-01
7,2012-02-12,2012-02-18,65,0,2012-02-01
8,2012-02-19,2012-02-25,50,1,2012-02-01
9,2012-02-26,2012-03-03,55,0,2012-02-01
10,2012-03-04,2012-03-10,45,1,2012-03-01
11,2012-03-11,2012-03-17,64,0,2012-03-01
12,2012-03-18,2012-03-24,72,1,2012-03-01
13,2012-03-25,2012-03-31,48,0,2012-03-01
14,2012-04-01,2012-04-07,52,0,2012-04-01
15,2012-04-08,2012-04-14,81,1,2012-04-01
16,2012-04-15,2012-04-21,77,0,2012-04-01
17,2012-04-22,2012-04-28,64,0,2012-04-01
18,2012-04-29,2012-05-05,86,2,2012-04-01
19,2012-05-06,2012-05-12,96,1,2012-05-01
20,2012-05-13,2012-05-19,80,0,2012-05-01
21,2012-05-20,2012-05-26,80,0,2012-05-01
22,2012-05-27,2012-06-02,81,0,2012-05-01
23,2012-06-03,2012-06-09,99,1,2012-06-01
24,2012-06-10,2012-06-16,87,1,2012-06-01
25,2012-06-17,2012-06-23,128,1,2012-06-01
26,2012-06-24,2012-06-30,151,0,2012-06-01
27,2012-07-01,2012-07-07,140,0,2012-07-01
28,2012-07-08,2012-07-14,131,1,2012-07-01
29,2012-07-15,2012-07-21,124,1,2012-07-01
30,2012-07-22,2012-07-28,110,0,2012-07-01
31,2012-07-29,2012-08-04,94,0,2012-07-01
32,2012-08-05,2012-08-11,127,0,2012-08-01
33,2012-08-12,2012-08-18,115,0,2012-08-01
34,2012-08-19,2012-08-25,92,0,2012-08-01
35,2012-08-26,2012-09-01,102,0,2012-08-01
36,2012-09-02,2012-09-08,75,1,2012-09-01
37,2012-09-09,2012-09-15,73,1,2012-09-01
38,2012-09-16,2012-09-22,72,0,2012-09-01
39,2012-09-23,2012-09-29,99,1,2012-09-01
40,2012-09-30,2012-10-06,103,1,2012-09-01
41,2012-10-07,2012-10-13,122,1,2012-10-01
42,2012-10-14,2012-10-20,105,0,2012-10-01
43,2012-10-21,2012-10-27,84,0,2012-10-01
44,2012-10-28,2012-11-03,104,0,2012-10-01
45,2012-11-04,2012-11-10,99,1,2012-11-01
46,2012-11-11,2012-11-17,87,1,2012-11-01
47,2012-11-18,2012-11-24,99,1,2012-11-01
48,2012-11-25,2012-12-01,80,0,2012-11-01
49,2012-12-02,2012-12-08,78,0,2012-12-01
50,2012-12-09,2012-12-15,104,1,2012-12-01
51,2012-12-16,2012-12-22,92,2,2012-12-01
52,2012-12-23,2012-12-29,111,1,2012-12-01
1,2012-12-30,2013-01-05,132,2,2012-12-01
2,2013-01-06,2013-01-12,204,1,2013-01-01
3,2013-01-13,2013-01-19,219,0,2013-01-01
4,2013-01-20,2013-01-26,264,3,2013-01-01
5,2013-01-27,2013-02-02,292,1,2013-01-01
6,2013-02-03,2013-02-09,322,0,2013-02-01
7,2013-02-10,2013-02-16,246,1,2013-02-01
8,2013-02-17,2013-02-23,294,2,2013-02-01
9,2013-02-24,2013-03-02,247,2,2013-02-01
10,2013-03-03,2013-03-09,272,1,2013-03-01
11,2013-03-10,2013-03-16,307,1,2013-03-01
12,2013-03-17,2013-03-23,305,2,2013-03-01
13,2013-03-24,2013-03-30,314,2,2013-03-01
14,2013-03-31,2013-04-06,402,4,2013-03-01
15,2013-04-07,2013-04-13,491,1,2013-04-01
16,2013-04-14,2013-04-20,505,4,2013-04-01
17,2013-04-21,2013-04-27,536,2,2013-04-01
18,2013-04-28,2013-05-04,547,0,2013-04-01
19,2013-05-05,2013-05-11,556,2,2013-05-01
20,2013-05-12,2013-05-18,611,0,2013-05-01
21,2013-05-19,2013-05-25,637,3,2013-05-01
22,2013-05-26,2013-06-01,742,4,2013-05-01
23,2013-06-02,2013-06-08,813,1,2013-06-01
24,2013-06-09,2013-06-15,805,4,2013-06-01
25,2013-06-16,2013-06-22,838,4,2013-06-01
26,2013-06-23,2013-06-29,802,4,2013-06-01
27,2013-06-30,2013-07-06,676,2,2013-06-01
28,2013-07-07,2013-07-13,540,1,2013-07-01
29,2013-07-14,2013-07-20,389,1,2013-07-01
30,2013-07-21,2013-07-27,305,1,2013-07-01
31,2013-07-28,2013-08-03,288,1,2013-07-01
32,2013-08-04,2013-08-10,255,1,2013-08-01
33,2013-08-11,2013-08-17,378,0,2013-08-01
34,2013-08-18,2013-08-24,338,3,2013-08-01
