Month,dengue symptoms: (Singapore),dengue fever: (Singapore),dengue how: (Singapore),dengue mosquito: (Singapore),mosquito bite: (Singapore)
2013-01,13,20,2,0,2
2013-02,18,35,3,6,3
2013-03,16,26,2,4,4
2013-04,39,49,4,14,8
2013-05,46,54,5,10,5
2013-06,93,100,9,14,11
2013-07,38,40,4,7,3
2013-08,31,31,3,5,10
2013-09,24,23,3,6,7
2013-10,29,35,3,5,4
2013-11,30,30,4,6,5
2013-12,23,24,2,3,5
2014-01,28,24,2,4,2
2014-02,21,21,2,2,5
2014-03,15,21,0,3,7
2014-04,16,19,1,3,5
2014-05,17,17,2,2,4
2014-06,20,23,4,5,6
2014-07,46,45,8,5,4
2014-08,31,35,5,6,4
2014-09,11,16,1,2,3
2014-10,12,13,2,2,5
2014-11,11,13,2,2,5
2014-12,18,18,2,3,4
2015-01,17,17,2,1,4
2015-02,15,16,2,1,3
2015-03,10,11,3,3,1
2015-04,10,11,2,3,3
2015-05,14,21,1,2,4
2015-06,14,20,2,3,4
2015-07,10,17,4,4,5
2015-08,10,13,4,2,5
2015-09,9,15,1,3,6
2015-10,13,16,2,1,5
2015-11,12,17,3,3,4
2015-12,18,23,4,7,8
2016-01,32,29,3,5,6
2016-02,36,42,4,5,4
2016-03,21,25,3,3,4
2016-04,13,16,0,5,3
2016-05,16,10,2,5,5
2016-06,19,15,2,2,6
2016-07,19,13,1,3,4
2016-08,13,10,0,3,4
2016-09,15,11,3,5,10
2016-10,8,8,0,2,4
2016-11,8,9,3,1,4
2016-12,3,3,0,2,3
2017-01,9,12,3,2,5
2017-02,9,9,1,2,2
2017-03,8,9,0,1,5
2017-04,7,7,2,2,5
2017-05,11,9,2,2,6
2017-06,10,11,0,1,5
2017-07,12,10,2,2,4
2017-08,6,7,0,3,3
2017-09,6,11,2,2,4
2017-10,12,11,1,3,5
2017-11,10,13,0,4,2
2017-12,7,8,1,2,3
2018-01,7,10,2,1,3
2018-02,6,8,2,2,4
2018-03,4,9,2,2,5
2018-04,5,8,1,1,3
2018-05,13,13,2,5,5
2018-06,7,8,2,3,6
2018-07,7,8,2,1,1
2018-08,6,9,1,1,4
2018-09,7,7,2,2,0
2018-10,5,6,0,1,4
2018-11,7,9,0,2,7
2018-12,9,7,1,3,7
2019-01,7,13,3,2,3
2019-02,11,14,2,3,5
2019-03,5,11,1,4,2
2019-04,8,11,0,4,6
2019-05,15,15,1,3,4
2019-06,27,19,5,5,10
2019-07,26,29,4,6,6
2019-08,27,28,5,5,6
2019-09,17,17,3,4,5
2019-10,11,14,2,4,5
2019-11,17,16,4,3,5
2019-12,12,18,5,1,5
2020-01,15,18,2,3,3
2020-02,13,20,5,4,5
2020-03,14,15,2,5,5
2020-04,10,11,3,4,2
2020-05,12,14,4,4,6
2020-06,35,22,6,13,8
2020-07,38,26,10,16,9
2020-08,29,25,7,11,8
2020-09,20,11,5,7,5
2020-10,15,8,2,5,5
2020-11,10,8,1,4,4
2020-12,5,2,2,2,3
