Date,mean_temp,no_rain_day,mean_humidity,mean_sunshine_hour,normal_dengue,dhf,dengue_total
2013-01,27.1,15,82.1,6,979,5,984
2013-02,26.5,22,86.9,4,1109,5,1114
2013-03,28.3,10,80.4,7.5,1600,10,1610
2013-04,28.2,19,82.7,5.2,2079,7,2086
2013-05,28.2,17,83.1,5.4,2546,9,2555
2013-06,29,12,74.6,6.4,3934,15,3949
2013-07,27.8,15,79.9,5.7,1522,4,1526
2013-08,27.9,15,79,6.1,1353,8,1361
2013-09,27.5,19,81.3,4.6,1997,17,2014
2013-10,27.7,19,79.9,6.3,1758,7,1765
2013-11,27.1,22,84.6,4.5,1580,3,1583
2013-12,26.5,21,85.8,3.5,1948,2,1950
2014-01,26.2,5,78.5,5.3,1450,0,1450
2014-02,27.2,1,74.5,8.8,1021,3,1024
2014-03,27.9,6,76,8,1108,2,1110
2014-04,28.2,17,80,5.7,1012,1,1013
2014-05,28.6,18,80.2,5.8,1435,1,1436
2014-06,29,11,77.5,6,3073,5,3078
2014-07,28.7,15,78.3,5.5,2679,4,2683
2014-08,27.7,20,79.7,4.5,2107,0,2107
2014-09,28.5,9,75.6,7,1441,2,1443
2014-10,28.4,10,77,6,974,0,974
2014-11,27.5,23,82.4,5.4,849,1,850
2014-12,27,17,82.6,3.7,721,0,721
2015-01,26.9,6,77.6,7.4,980,1,981
2015-02,27,6,75.4,7.3,656,1,657
2015-03,28.2,5,75.8,7.3,609,3,612
2015-04,28.6,13,77.1,7.2,477,0,477
2015-05,28.7,12,78.9,5.8,730,4,734
2015-06,29,10,75.8,6.7,881,1,882
2015-07,29.1,13,74.9,7.1,1078,0,1078
2015-08,28.4,11,76.7,6.1,1168,0,1168
2015-09,28.7,8,75,4.3,991,0,991
2015-10,28.7,9,75.4,4.7,940,0,940
2015-11,28,13,79.1,4.8,1262,1,1263
2015-12,27.7,19,81.1,5.3,1520,1,1521
2016-01,28.3,15,79.6,7.2,2949,4,2953
2016-02,27.8,10,78.8,6.5,1926,5,1931
2016-03,29,6,74.7,8,1447,5,1452
2016-04,29.4,14,75.6,7,984,2,986
2016-05,29.3,12,77.4,6.2,1021,1,1022
2016-06,28.5,13,77.7,5.4,798,2,800
2016-07,28.4,20,77.3,6.3,1166,2,1168
2016-08,28.9,15,74,6.7,1002,3,1005
2016-09,28.3,15,73.9,5.5,729,0,729
2016-10,28.3,16,72,4.6,496,1,497
2016-11,27.4,20,77.6,3.5,316,1,317
2016-12,27.4,23,72.8,5.1,276,0,276
2017-01,26.9,21,84.8,4.8,358,2,360
2017-02,26.9,15,83.2,7.1,223,2,225
2017-03,27.4,11,82.5,6.1,147,2,149
2017-04,27.8,21,83.5,5.3,199,0,199
2017-05,28.5,15,82.8,5.9,212,2,214
2017-06,28.5,10,80.2,6.3,289,1,290
2017-07,28.3,9,79.6,7,293,1,294
2017-08,28.1,18,79.9,6.1,192,2,194
2017-09,28,19,81,5.7,190,1,191
2017-10,27.9,18,82.5,5.5,307,2,309
2017-11,27.1,24,86.3,4.2,155,1,156
2017-12,27,23,85.2,5.6,273,1,274
2018-01,26.1,25,86.6,4.1,215,0,215
2018-02,27.2,5,77.2,8,167,1,168
2018-03,28,10,78.4,6.4,134,2,136
2018-04,28.5,14,78.5,6.8,261,4,265
2018-05,28.7,19,79,5.8,241,4,245
2018-06,28.4,17,79.3,4.1,264,3,267
2018-07,28.5,10,77.7,6.1,247,3,250
2018-08,28.5,11,77,6.7,242,3,245
2018-09,28,13,77.1,6,278,1,279
2018-10,27.9,18,79.7,6.1,264,2,266
2018-11,27.3,27,83.2,3.8,355,0,355
2018-12,27.6,19,81.5,5.1,713,5,718
2019-01,28,9,75.6,7.1,852,12,864
2019-02,28.2,5,74.1,9.2,704,8,712
2019-03,28.7,6,72.3,8.3,545,3,548
2019-04,28.6,9,77.6,5.9,607,4,611
2019-05,29.3,13,79.2,7,1370,5,1375
2019-06,28.4,16,79.5,5.3,2373,17,2390
2019-07,29,8,75.2,7.5,2503,10,2513
2019-08,29.1,6,72.1,7.6,1929,6,1935
2019-09,29,4,73,6.7,1440,12,1452
2019-10,28.1,15,78.1,6.5,1013,4,1017
2019-11,28,15,79.2,5.5,1316,4,1320
