,0,num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews
0,1236300,20,4,Mostly Negative,500,854,1354
1,588120,20,6,Mostly Positive,18,7,25
2,1659610,0,0,No user reviews,0,0,0
3,1672830,0,0,No user reviews,0,0,0
4,1591520,7,8,Very Positive,1996,280,2276
5,1739530,0,0,No user reviews,0,0,0
6,1834940,3,0,3 user reviews,3,0,3
7,1412260,1,0,1 user reviews,1,0,1
8,1844640,1,0,1 user reviews,1,0,1
9,1844510,10,7,Positive,10,0,10
10,1772920,9,0,9 user reviews,8,1,9
11,1796180,3,0,3 user reviews,2,1,3
12,1842300,1,0,1 user reviews,1,0,1
13,917020,1,0,1 user reviews,0,1,1
14,1699960,2,0,2 user reviews,2,0,2
15,1827770,0,0,No user reviews,0,0,0
16,1838080,0,0,No user reviews,0,0,0
17,1590320,0,0,No user reviews,0,0,0
18,1848160,12,5,Mixed,8,4,12
19,1844860,0,0,No user reviews,0,0,0
20,1847920,1,0,3 user reviews,3,0,3
21,1835690,0,0,No user reviews,0,0,0
22,1516610,1,0,1 user reviews,1,0,1
23,1392150,1,0,6 user reviews,6,0,6
24,1373670,0,0,No user reviews,0,0,0
25,1699530,13,3,Negative,2,11,13
26,1804970,0,0,No user reviews,0,0,0
27,1652740,4,0,4 user reviews,2,2,4
28,1837900,0,0,No user reviews,0,0,0
29,1833340,1,0,1 user reviews,0,1,1
30,1818150,11,7,Positive,11,0,11
31,1839040,0,0,No user reviews,0,0,0
32,1847130,0,0,No user reviews,0,0,0
33,1815720,0,0,No user reviews,0,0,0
34,1834390,0,0,No user reviews,0,0,0
35,1803560,0,0,No user reviews,0,0,0
36,1811640,1,0,1 user reviews,1,0,1
37,1848250,0,0,No user reviews,0,0,0
38,1841600,0,0,No user reviews,0,0,0
39,1837520,0,0,No user reviews,0,0,0
40,1815190,1,0,1 user reviews,0,1,1
41,1814270,9,0,9 user reviews,9,0,9
42,1801230,2,0,2 user reviews,2,0,2
43,1100500,1,0,1 user reviews,0,1,1
44,1818640,3,0,3 user reviews,2,1,3
45,1841350,1,0,1 user reviews,1,0,1
46,1692520,0,0,No user reviews,0,0,0
47,1832680,0,0,No user reviews,0,0,0
48,1848140,10,7,Positive,10,0,10
49,1834470,0,0,No user reviews,0,0,0
50,1732660,3,0,3 user reviews,2,1,3
51,1758540,1,0,4 user reviews,1,3,4
52,1447290,3,0,3 user reviews,0,3,3
53,1465310,1,0,1 user reviews,1,0,1
54,1847020,3,0,3 user reviews,3,0,3
55,1831990,1,0,1 user reviews,0,1,1
56,1781270,0,0,No user reviews,0,0,0
57,1840940,0,0,No user reviews,0,0,0
58,1842930,1,0,1 user reviews,1,0,1
59,1838560,4,0,4 user reviews,3,1,4
60,1804570,1,0,1 user reviews,0,1,1
61,1849870,1,0,1 user reviews,1,0,1
62,1850240,4,0,4 user reviews,3,1,4
63,1825200,0,0,No user reviews,0,0,0
64,1788790,1,0,1 user reviews,1,0,1
65,1675600,0,0,No user reviews,0,0,0
66,1851970,1,0,1 user reviews,1,0,1
67,1381030,0,0,No user reviews,0,0,0
68,1851380,0,0,No user reviews,0,0,0
69,1824710,0,0,No user reviews,0,0,0
70,1798770,0,0,No user reviews,0,0,0
71,1651260,1,0,1 user reviews,1,0,1
72,1845760,1,0,1 user reviews,1,0,1
73,1857150,1,0,3 user reviews,3,0,3
74,1842390,0,0,No user reviews,0,0,0
75,1840520,2,0,2 user reviews,2,0,2
76,1840120,0,0,No user reviews,0,0,0
77,1846020,2,7,Positive,26,3,29
78,1834690,0,0,No user reviews,0,0,0
79,1785440,1,5,Mixed,7,5,12
80,1758260,0,0,No user reviews,0,0,0
81,405010,1,6,Mostly Positive,31,11,42
82,1844580,1,0,8 user reviews,6,2,8
83,1792650,3,0,3 user reviews,3,0,3
84,1191730,12,5,Mixed,6,6,12
85,1577940,7,0,7 user reviews,6,1,7
86,1661930,0,0,No user reviews,0,0,0
87,1648300,0,0,No user reviews,0,0,0
88,1828400,0,0,No user reviews,0,0,0
89,1698140,0,0,No user reviews,0,0,0
90,1276410,2,0,2 user reviews,1,1,2
91,1577710,5,0,5 user reviews,5,0,5
92,1845880,11,7,Positive,11,0,11
93,1816680,0,0,No user reviews,0,0,0
94,1760090,1,0,7 user reviews,7,0,7
95,1844290,1,0,1 user reviews,1,0,1
96,1843900,2,0,2 user reviews,2,0,2
97,1835840,1,7,Positive,23,4,27
98,1833650,1,0,1 user reviews,0,1,1
99,1833050,0,0,No user reviews,0,0,0
100,1791410,2,0,2 user reviews,2,0,2
101,1843750,1,0,4 user reviews,4,0,4
102,1848150,10,7,Positive,9,1,10
103,1838790,9,0,9 user reviews,8,1,9
104,1796100,5,0,5 user reviews,5,0,5
105,1817140,2,0,2 user reviews,2,0,2
106,1819090,1,0,1 user reviews,1,0,1
107,1847440,0,0,No user reviews,0,0,0
108,1832790,0,0,No user reviews,0,0,0
109,1661760,2,0,2 user reviews,2,0,2
110,1841910,0,0,No user reviews,0,0,0
111,1361660,0,0,No user reviews,0,0,0
112,1813730,0,0,No user reviews,0,0,0
113,1802570,0,0,No user reviews,0,0,0
114,1778830,11,6,Mostly Positive,8,3,11
115,1845840,2,0,2 user reviews,1,1,2
116,1819540,4,0,4 user reviews,3,1,4
117,1417020,1,0,1 user reviews,1,0,1
118,1700920,1,0,1 user reviews,0,1,1
119,1795760,3,0,3 user reviews,2,1,3
120,934180,16,6,Mostly Positive,12,4,16
121,1794220,4,0,4 user reviews,4,0,4
122,1852760,1,0,1 user reviews,0,1,1
123,1298750,0,0,No user reviews,0,0,0
124,1716770,13,7,Positive,11,2,13
125,1799280,1,6,Mostly Positive,10,3,13
126,1569470,3,8,Very Positive,51,2,53
127,1844110,0,0,No user reviews,0,0,0
128,1831140,3,0,3 user reviews,1,2,3
129,1792610,0,0,No user reviews,0,0,0
130,1825740,1,8,Very Positive,49,5,54
131,1512940,2,5,Mixed,8,12,20
132,1838670,2,0,2 user reviews,2,0,2
133,1830720,2,8,Very Positive,97,5,102
134,1695840,13,6,Mostly Positive,468,179,647
135,1812400,6,0,6 user reviews,6,0,6
136,1681540,0,0,No user reviews,0,0,0
137,1807480,0,0,No user reviews,0,0,0
138,1349040,5,8,Very Positive,320,37,357
139,1742750,1,0,1 user reviews,1,0,1
140,1763590,4,0,4 user reviews,4,0,4
141,1830760,0,0,No user reviews,0,0,0
142,1707030,4,0,4 user reviews,2,2,4
143,1845780,0,0,No user reviews,0,0,0
144,1806200,2,0,2 user reviews,2,0,2
145,1816910,0,0,No user reviews,0,0,0
146,1408480,8,0,8 user reviews,6,2,8
147,1824830,0,0,No user reviews,0,0,0
148,1305130,1,0,7 user reviews,7,0,7
149,1581700,0,0,No user reviews,0,0,0
150,1845610,1,7,Positive,12,0,12
151,1706150,1,0,2 user reviews,2,0,2
152,1427130,1,0,1 user reviews,0,1,1
153,1826070,3,0,3 user reviews,3,0,3
154,1732840,4,0,4 user reviews,1,3,4
155,1823320,1,0,8 user reviews,8,0,8
156,1788920,2,0,2 user reviews,1,1,2
157,1738490,1,0,9 user reviews,8,1,9
158,1777350,3,0,3 user reviews,2,1,3
159,1835090,0,0,No user reviews,0,0,0
160,1555470,0,0,No user reviews,0,0,0
161,1843800,0,0,No user reviews,0,0,0
162,1837870,0,0,No user reviews,0,0,0
163,1825530,0,0,No user reviews,0,0,0
164,1819430,1,0,1 user reviews,1,0,1
165,1374280,20,7,Positive,46,1,47
166,1826480,0,0,No user reviews,0,0,0
167,1533120,5,0,5 user reviews,3,2,5
168,929340,0,0,No user reviews,0,0,0
169,1841220,1,0,2 user reviews,2,0,2
170,1674620,2,6,Mostly Positive,35,10,45
171,1757970,3,0,3 user reviews,3,0,3
172,1580040,1,0,1 user reviews,1,0,1
173,1804070,3,0,3 user reviews,3,0,3
174,645320,1,7,Positive,30,5,35
175,1838800,10,7,Positive,9,1,10
176,1844190,12,7,Positive,10,2,12
177,1842270,10,7,Positive,10,0,10
178,1832380,5,0,5 user reviews,5,0,5
179,1836240,0,0,No user reviews,0,0,0
180,1831770,1,0,1 user reviews,0,1,1
181,1790380,0,0,No user reviews,0,0,0
182,1712390,0,0,No user reviews,0,0,0
183,1784600,11,7,Positive,10,1,11
184,1815020,2,0,2 user reviews,1,1,2
185,1389780,2,0,2 user reviews,2,0,2
186,1149800,1,0,1 user reviews,1,0,1
187,1794320,2,0,8 user reviews,5,3,8
188,1341200,3,5,Mixed,157,129,286
189,1822940,1,0,1 user reviews,1,0,1
190,1808130,2,8,Very Positive,101,5,106
191,1775750,12,7,Positive,11,1,12
192,1827660,2,7,Positive,29,2,31
193,1822140,5,0,5 user reviews,4,1,5
194,1730360,7,8,Very Positive,361,5,366
195,956450,2,8,Very Positive,440,27,467
196,1831130,18,6,Mostly Positive,13,5,18
197,1807980,3,0,3 user reviews,1,2,3
198,1836310,0,0,No user reviews,0,0,0
199,1845630,0,0,No user reviews,0,0,0
200,1837800,0,0,No user reviews,0,0,0
201,1475780,4,0,4 user reviews,4,0,4
202,1404500,0,0,No user reviews,0,0,0
203,1810700,1,5,Mixed,9,4,13
204,1234500,4,0,4 user reviews,1,3,4
205,1796750,1,0,1 user reviews,1,0,1
206,1701820,0,0,No user reviews,0,0,0
207,1831970,1,0,1 user reviews,0,1,1
208,1384030,3,5,Mixed,28,23,51
209,1823590,0,0,No user reviews,0,0,0
210,1810500,4,0,4 user reviews,2,2,4
211,1094400,13,7,Positive,12,1,13
212,1765690,2,7,Positive,35,8,43
213,1841740,1,0,1 user reviews,0,1,1
214,1840700,13,5,Mixed,8,5,13
215,1838380,2,0,2 user reviews,2,0,2
216,1551830,0,0,No user reviews,0,0,0
217,1831320,2,0,2 user reviews,2,0,2
218,1783810,1,0,1 user reviews,0,1,1
219,1833890,1,0,4 user reviews,4,0,4
220,1641860,1,0,1 user reviews,1,0,1
221,1335370,2,0,2 user reviews,2,0,2
222,1818580,1,0,1 user reviews,1,0,1
223,1825850,3,0,3 user reviews,3,0,3
224,1809710,3,0,3 user reviews,3,0,3
225,1838220,0,0,No user reviews,0,0,0
226,1363740,6,8,Very Positive,208,21,229
227,1835560,0,0,No user reviews,0,0,0
228,825060,1,7,Positive,16,0,16
229,1421390,6,0,6 user reviews,6,0,6
230,1489120,3,8,Very Positive,62,2,64
231,1776730,3,0,3 user reviews,0,3,3
232,1087530,3,0,3 user reviews,0,3,3
233,1218140,8,0,8 user reviews,8,0,8
234,1142240,20,7,Positive,29,2,31
235,1841850,1,0,1 user reviews,1,0,1
236,1841060,0,0,No user reviews,0,0,0
237,1840100,0,0,No user reviews,0,0,0
238,1432020,2,0,2 user reviews,2,0,2
239,1636590,0,0,No user reviews,0,0,0
240,1835060,1,8,Very Positive,65,8,73
241,1775430,0,0,No user reviews,0,0,0
242,1702760,2,7,Positive,11,2,13
243,1738620,0,0,No user reviews,0,0,0
244,1835790,1,0,1 user reviews,1,0,1
245,1833190,0,0,No user reviews,0,0,0
246,1707560,1,7,Positive,26,6,32
247,1830260,1,0,2 user reviews,1,1,2
248,1838660,1,0,1 user reviews,0,1,1
249,1839750,0,0,No user reviews,0,0,0
250,1509360,1,6,Mostly Positive,19,5,24
251,1693430,4,0,4 user reviews,1,3,4
252,1813990,0,0,No user reviews,0,0,0
253,1399250,1,0,1 user reviews,0,1,1
254,1768350,5,0,5 user reviews,3,2,5
255,1802210,4,0,4 user reviews,4,0,4
256,1814000,0,0,No user reviews,0,0,0
257,1795640,0,0,No user reviews,0,0,0
258,1788900,3,0,3 user reviews,3,0,3
259,1179570,3,0,3 user reviews,3,0,3
260,1668720,1,7,Positive,8,2,10
261,1806440,1,0,1 user reviews,1,0,1
262,1707470,0,0,No user reviews,0,0,0
263,1835820,0,0,No user reviews,0,0,0
264,871120,0,0,No user reviews,0,0,0
265,1830050,2,0,2 user reviews,1,1,2
266,1809420,1,0,2 user reviews,0,2,2
267,1766310,0,0,No user reviews,0,0,0
268,1608680,1,6,Mostly Positive,57,23,80
269,1282060,1,0,1 user reviews,1,0,1
270,1825010,1,0,1 user reviews,1,0,1
271,1823900,3,0,3 user reviews,2,1,3
272,1818340,1,0,7 user reviews,7,0,7
273,1712690,7,0,7 user reviews,7,0,7
274,1813400,1,0,1 user reviews,1,0,1
275,1745200,0,0,No user reviews,0,0,0
276,1764240,7,0,7 user reviews,6,1,7
277,1293530,8,0,8 user reviews,5,3,8
278,1821800,0,0,No user reviews,0,0,0
279,1758920,1,7,Positive,15,1,16
280,1834310,5,6,Mostly Positive,22,7,29
281,1737010,1,0,1 user reviews,1,0,1
282,1466530,3,0,3 user reviews,3,0,3
283,788670,20,5,Mixed,14,9,23
284,1840920,1,7,Positive,25,1,26
285,1836210,1,0,1 user reviews,0,1,1
286,1770660,7,0,7 user reviews,4,3,7
287,1740950,3,0,3 user reviews,0,3,3
288,1782190,0,0,No user reviews,0,0,0
289,1824910,0,0,No user reviews,0,0,0
290,1688390,2,0,2 user reviews,0,2,2
291,1836550,0,0,No user reviews,0,0,0
292,1805190,0,0,No user reviews,0,0,0
293,1768980,6,0,6 user reviews,6,0,6
294,1841270,0,0,No user reviews,0,0,0
295,1801220,1,7,Positive,35,6,41
296,1657950,0,0,No user reviews,0,0,0
297,1835220,1,0,1 user reviews,0,1,1
298,1824210,1,0,1 user reviews,1,0,1
299,1839590,0,0,No user reviews,0,0,0
300,1619590,8,0,8 user reviews,5,3,8
301,1780470,1,7,Positive,36,5,41
302,1677490,20,7,Positive,25,0,25
303,1827180,0,0,No user reviews,0,0,0
304,1802120,0,0,No user reviews,0,0,0
305,1696130,0,0,No user reviews,0,0,0
306,1783960,20,5,Mixed,73,38,111
307,1814160,2,7,Positive,11,2,13
308,1247870,1,0,4 user reviews,2,2,4
309,1446750,0,0,No user reviews,0,0,0
310,1830840,0,0,No user reviews,0,0,0
311,1254390,0,0,No user reviews,0,0,0
312,1312290,0,0,No user reviews,0,0,0
