title,url,release_date,Year,date_time
Resident Evil Re:Verse,https://store.steampowered.com/app/1236300/Resident_Evil_ReVerse/?snr=1_7_7_230_150_59,"8 May, 2021",2021,2021-05-08
Capsa,https://store.steampowered.com/app/588120/Capsa/?snr=1_7_7_230_150_231,"17 Jan, 2020",2020,2020-01-17
The Midnight Wind,https://store.steampowered.com/app/1659610/The_Midnight_Wind/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
LandCombat:Ren,https://store.steampowered.com/app/1672830/LandCombatRen/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Clownfield 2042,https://store.steampowered.com/app/1591520/Clownfield_2042/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
EXCALIBURIAN!!,https://store.steampowered.com/app/1739530/EXCALIBURIAN/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Hen in the Foxhouse,https://store.steampowered.com/app/1834940/Hen_in_the_Foxhouse/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Kombo King,https://store.steampowered.com/app/1412260/Kombo_King/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
LiS: Achados & Perdidos dos Confins do Universo,https://store.steampowered.com/app/1844640/LiS_Achados__Perdidos_dos_Confins_do_Universo/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Caveman Hunt,https://store.steampowered.com/app/1844510/Caveman_Hunt/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Para Bellum - Hold the Line,https://store.steampowered.com/app/1772920/Para_Bellum__Hold_the_Line/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Peculiar Tales of Mid-Lake Pavilion,https://store.steampowered.com/app/1796180/Peculiar_Tales_of_MidLake_Pavilion/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Uncolored Bob II,https://store.steampowered.com/app/1842300/Uncolored_Bob_II/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
The Con Simulator,https://store.steampowered.com/app/917020/The_Con_Simulator/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Falta,https://store.steampowered.com/app/1699960/Falta/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Bouncy Bunnies,https://store.steampowered.com/app/1827770/Bouncy_Bunnies/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Agent Stilus,https://store.steampowered.com/app/1838080/Agent_Stilus/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Bro Falls,https://store.steampowered.com/app/1590320/Bro_Falls/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
AMaze DOS,https://store.steampowered.com/app/1848160/AMaze_DOS/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Into the Waves,https://store.steampowered.com/app/1844860/Into_the_Waves/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Shrumblo and the Magical Grumblo,https://store.steampowered.com/app/1847920/Shrumblo_and_the_Magical_Grumblo/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
ShawnCena121,https://store.steampowered.com/app/1835690/ShawnCena121/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
RC Airplane Challenge,https://store.steampowered.com/app/1516610/RC_Airplane_Challenge/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Hover Attack,https://store.steampowered.com/app/1392150/Hover_Attack/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
The Roy Game,https://store.steampowered.com/app/1373670/The_Roy_Game/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
HIDEAWAY,https://store.steampowered.com/app/1699530/HIDEAWAY/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Crimson Waves on the Emerald Sea,https://store.steampowered.com/app/1804970/Crimson_Waves_on_the_Emerald_Sea/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
True Visions,https://store.steampowered.com/app/1652740/True_Visions/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
sol 3000,https://store.steampowered.com/app/1837900/sol_3000/?snr=1_7_7_230_150_250,"31 Dec, 2021",2021,2021-12-31
Anima,https://store.steampowered.com/app/1833340/Anima/?snr=1_7_7_230_150_250,"30 Dec, 2021",2021,2021-12-30
Pinecone Game,https://store.steampowered.com/app/1818150/Pinecone_Game/?snr=1_7_7_230_150_250,"30 Dec, 2021",2021,2021-12-30
Deep Base,https://store.steampowered.com/app/1839040/Deep_Base/?snr=1_7_7_230_150_250,"30 Dec, 2021",2021,2021-12-30
Tokyo Detectives,https://store.steampowered.com/app/1847130/Tokyo_Detectives/?snr=1_7_7_230_150_250,"30 Dec, 2021",2021,2021-12-30
Split Tactics,https://store.steampowered.com/app/1815720/Split_Tactics/?snr=1_7_7_230_150_250,"30 Dec, 2021",2021,2021-12-30
Desire Ninja,https://store.steampowered.com/app/1834390/Desire_Ninja/?snr=1_7_7_230_150_250,"30 Dec, 2021",2021,2021-12-30
Through the world,https://store.steampowered.com/app/1803560/Through_the_world/?snr=1_7_7_230_150_250,"30 Dec, 2021",2021,2021-12-30
The Choice VR (선택VR),https://store.steampowered.com/app/1811640/The_Choice_VR_VR/?snr=1_7_7_230_150_250,"30 Dec, 2021",2021,2021-12-30
Dog Adventure,https://store.steampowered.com/app/1848250/Dog_Adventure/?snr=1_7_7_230_150_250,"30 Dec, 2021",2021,2021-12-30
Problem Animals,https://store.steampowered.com/app/1841600/Problem_Animals/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Fast Delivery,https://store.steampowered.com/app/1837520/Fast_Delivery/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Saving Sunrise,https://store.steampowered.com/app/1815190/Saving_Sunrise/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Metallophobia,https://store.steampowered.com/app/1814270/Metallophobia/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Cemetery Mary,https://store.steampowered.com/app/1801230/Cemetery_Mary/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Last Contingency,https://store.steampowered.com/app/1100500/Last_Contingency/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Thugs Never Die,https://store.steampowered.com/app/1818640/Thugs_Never_Die/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
ToS Gamepad Companion,https://store.steampowered.com/app/1841350/ToS_Gamepad_Companion/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Robots n Lasers,https://store.steampowered.com/app/1692520/Robots_n_Lasers/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Lovely Anna,https://store.steampowered.com/app/1832680/Lovely_Anna/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Road Mayhem,https://store.steampowered.com/app/1848140/Road_Mayhem/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Horny Pixels,https://store.steampowered.com/app/1834470/Horny_Pixels/?snr=1_7_7_230_150_251,"30 Dec, 2021",2021,2021-12-30
Car Wash TD - Tower Defense,https://store.steampowered.com/app/1732660/Car_Wash_TD__Tower_Defense/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
Goddess Husk,https://store.steampowered.com/app/1758540/Goddess_Husk/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
Tactical Operations Force,https://store.steampowered.com/app/1447290/Tactical_Operations_Force/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
Gun Mage,https://store.steampowered.com/app/1465310/Gun_Mage/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
Jet Fighters with Friends  (Multiplayer),https://store.steampowered.com/app/1847020/Jet_Fighters_with_Friends__Multiplayer/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
Comixxx Memories,https://store.steampowered.com/app/1831990/Comixxx_Memories/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
Déjà-vu VR,https://store.steampowered.com/app/1781270/Djvu_VR/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
HELL BOUND MONSTERS,https://store.steampowered.com/app/1840940/HELL_BOUND_MONSTERS/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
Mother Stone,https://store.steampowered.com/app/1842930/Mother_Stone/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
The Defaloon,https://store.steampowered.com/app/1838560/The_Defaloon/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
RED OPS ARCADE,https://store.steampowered.com/app/1804570/RED_OPS_ARCADE/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
amazin' George Remastered,https://store.steampowered.com/app/1849870/amazin_George_Remastered/?snr=1_7_7_230_150_251,"29 Dec, 2021",2021,2021-12-29
