year_month,Total_Fatalities,Total_Injuries,Total_Fatalities_and_Injuries,mean_sunshine_hrs,no_of_rainy_days,total_rainfall,year,month
2022-8,9.0,712.0,721.0,5.5,15.0,141.4,2022,8
2022-7,10.0,753.0,763.0,6.2,16.0,145.2,2022,7
2022-6,6.0,645.0,651.0,4.7,17.0,211.8,2022,6
2022-5,5.0,701.0,706.0,6.7,12.0,102.0,2022,5
2022-4,13.0,643.0,656.0,5.2,18.0,239.6,2022,4
2022-3,11.0,555.0,566.0,6.4,21.0,163.2,2022,3
2022-2,6.0,503.0,509.0,5.9,16.0,175.0,2022,2
2022-1,4.0,699.0,703.0,8.3,9.0,99.8,2022,1
2021-12,12.0,611.0,623.0,5.4,15.0,119.6,2021,12
2021-11,10.0,588.0,598.0,4.9,23.0,312.4,2021,11
2021-10,6.0,506.0,512.0,6.2,14.0,177.0,2021,10
2021-9,6.0,648.0,654.0,6.4,14.0,205.4,2021,9
2021-8,6.0,632.0,638.0,4.8,24.0,293.6,2021,8
2021-7,9.0,589.0,598.0,6.8,12.0,195.8,2021,7
2021-6,7.0,576.0,583.0,6.5,20.0,93.4,2021,6
2021-5,12.0,553.0,565.0,6.0,13.0,245.8,2021,5
2021-4,6.0,614.0,620.0,6.8,14.0,290.4,2021,4
2021-3,14.0,642.0,656.0,7.3,14.0,182.4,2021,3
2021-2,12.0,564.0,576.0,8.2,2.0,1.0,2021,2
2021-1,7.0,661.0,668.0,4.2,17.0,692.8,2021,1
2020-12,4.0,737.0,741.0,5.2,20.0,253.2,2020,12
2020-11,6.0,600.0,606.0,4.0,19.0,220.6,2020,11
2020-10,5.0,629.0,634.0,4.3,16.0,78.8,2020,10
2020-9,4.0,579.0,583.0,4.8,18.0,150.2,2020,9
2020-8,10.0,513.0,523.0,6.4,12.0,103.4,2020,8
2020-7,3.0,554.0,557.0,5.7,22.0,140.8,2020,7
2020-6,7.0,422.0,429.0,4.3,21.0,233.8,2020,6
2020-5,2.0,304.0,306.0,5.7,16.0,255.6,2020,5
2020-4,11.0,338.0,349.0,7.1,12.0,188.0,2020,4
2020-3,11.0,615.0,626.0,7.6,8.0,108.8,2020,3
2020-2,9.0,586.0,595.0,8.3,8.0,65.0,2020,2
2020-1,11.0,792.0,803.0,7.1,6.0,88.4,2020,1
2019-12,12.0,835.0,847.0,4.8,14.0,421.5,2019,12
2019-11,15.0,844.0,859.0,5.5,15.0,137.4,2019,11
2019-10,9.0,903.0,912.0,6.5,15.0,176.8,2019,10
2019-9,10.0,802.0,812.0,6.7,4.0,22.8,2019,9
2019-8,4.0,761.0,765.0,7.6,6.0,11.8,2019,8
2019-7,9.0,871.0,880.0,7.5,8.0,12.2,2019,7
2019-6,11.0,819.0,830.0,5.3,16.0,173.8,2019,6
2019-5,6.0,818.0,824.0,7.0,13.0,69.0,2019,5
2019-4,12.0,822.0,834.0,5.9,9.0,174.8,2019,4
2019-3,13.0,743.0,756.0,8.3,6.0,72.2,2019,3
2019-2,9.0,740.0,749.0,9.2,5.0,31.6,2019,2
2019-1,8.0,875.0,883.0,7.1,9.0,63.6,2019,1
2018-12,14.0,792.0,806.0,5.1,19.0,172.6,2018,12
2018-11,8.0,937.0,945.0,3.8,27.0,169.6,2018,11
2018-10,13.0,849.0,862.0,6.1,18.0,234.4,2018,10
2018-9,9.0,795.0,804.0,6.0,13.0,144.4,2018,9
2018-8,9.0,862.0,871.0,6.7,11.0,121.6,2018,8
2018-7,11.0,820.0,831.0,6.1,10.0,143.2,2018,7
